# Printed-name exactness against EDCD FDevIDs (upstream c356129, 2026-09-05), measured 2026-09-20 with
# crates/ed-journal/tests/edcd_names.rs (EDDA_FDEVIDS=<dir> cargo test -p ed-journal --test edcd_names -- --ignored).
# Maintainer: "every ship name, every module name, every commodity, every material, every everything has a coded name
# and a printed name and we should be exact." Comparison: the name EDDA prints for each table's symbol vs the table's name
# (modules on the name part, since EDDA appends class/rating). VERDICT: materials 137/137 and commodities 270/270 exact;
# ships 39/48 (9 differ: EDCD writes "Cobra MkIII", EDDA "Cobra Mk III" — a spacing convention, the maintainer's call —
# and Lynx Highliner is unknown to EDDA); modules 1041/1236 (195 differ, grouped in the PR); rare commodities 0/142 —
# EDDA has no rare-commodity table at all. Fixes follow in their own PR once the convention is ruled.
table,symbol,edcd_name,edda_name,verdict
rare_commodity.csv,TerraMaterBloodBores,Terra Mater Blood Bores,,missing
rare_commodity.csv,HolvaDuellingBlades,Holva Duelling Blades,,missing
rare_commodity.csv,KamorinHistoricWeapons,Kamorin Historic Weapons,,missing
rare_commodity.csv,GilyaSignatureWeapons,Gilya Signature Weapons,,missing
rare_commodity.csv,DeltaPhoenicisPalms,Delta Phoenicis Palms,,missing
rare_commodity.csv,ToxandjiVirocide,Toxandji Virocide,,missing
rare_commodity.csv,XiheCompanions,Xihe Biomorphic Companions,,missing
rare_commodity.csv,SanumaMEAT,Sanuma Decorative Meat,,missing
rare_commodity.csv,EthgrezeTeaBuds,Ethgreze Tea Buds,,missing
rare_commodity.csv,CeremonialHeikeTea,Ceremonial Heike Tea,,missing
rare_commodity.csv,TanmarkTranquilTea,Tanmark Tranquil Tea,,missing
rare_commodity.csv,AZCancriFormula42,AZ Cancri Formula 42,,missing
rare_commodity.csv,KamitraCigars,Kamitra Cigars,,missing
rare_commodity.csv,RusaniOldSmokey,Rusani Old Smokey,,missing
rare_commodity.csv,YasoKondiLeaf,Yaso Kondi Leaf,,missing
rare_commodity.csv,ChateauDeAegaeon,Chateau De Aegaeon,,missing
rare_commodity.csv,WatersOfShintara,The Waters of Shintara,,missing
rare_commodity.csv,OphiuchiExinoArtefacts,Ophiuch Exino Artefacts,,missing
rare_commodity.csv,BakedGreebles,Baked Greebles,,missing
rare_commodity.csv,CetiAepyornisEgg,Aepyornis Egg,,missing
rare_commodity.csv,SaxonWine,Saxon Wine,,missing
rare_commodity.csv,CentauriMegaGin,Centauri Mega Gin,,missing
rare_commodity.csv,AnduligaFireWorks,Anduliga Fire Works,,missing
rare_commodity.csv,BankiAmphibiousLeather,Banki Amphibious Leather,,missing
rare_commodity.csv,CherbonesBloodCrystals,Cherbones Blood Crystals,,missing
rare_commodity.csv,MotronaExperienceJelly,Motrona Experience Jelly,,missing
rare_commodity.csv,GeawenDanceDust,Geawen Dance Dust,,missing
rare_commodity.csv,GerasianGueuzeBeer,Gerasian Gueuze Beer,,missing
rare_commodity.csv,HaidneBlackBrew,Haiden Black Brew,,missing
rare_commodity.csv,HavasupaiDreamCatcher,Havasupai Dream Catcher,,missing
rare_commodity.csv,BurnhamBileDistillate,Burnham Bile Distillate,,missing
rare_commodity.csv,HIPOrganophosphates,HIP Organophosphates,,missing
rare_commodity.csv,JaradharrePuzzlebox,Jaradharre Puzzle Box,,missing
rare_commodity.csv,KorroKungPellets,Koro Kung Pellets,,missing
rare_commodity.csv,LFTVoidExtractCoffee,Void Extract Coffee,,missing
rare_commodity.csv,HonestyPills,Honesty Pills,,missing
rare_commodity.csv,NonEuclidianExotanks,Non Euclidian Exotanks,,missing
rare_commodity.csv,LTTHyperSweet,LTT Hyper Sweet,,missing
rare_commodity.csv,MechucosHighTea,Mechucos High Tea,,missing
rare_commodity.csv,MedbStarlube,Medb Starlube,,missing
rare_commodity.csv,MokojingBeastFeast,Mokojing Beast Feast,,missing
rare_commodity.csv,MukusubiiChitinOs,Mukusubii Chitin-os,,missing
rare_commodity.csv,MulachiGiantFungus,Mulachi Giant Fungus,,missing
rare_commodity.csv,NgadandariFireOpals,Ngadandari Fire Opals,,missing
rare_commodity.csv,TiegfriesSynthSilk,Tiegfries Synth Silk,,missing
rare_commodity.csv,UzumokuLowGWings,Uzumoku Low-G Wings,,missing
rare_commodity.csv,VHerculisBodyRub,V Herculis Body Rub,,missing
rare_commodity.csv,WheemeteWheatCakes,Wheemete Wheat Cakes,,missing
rare_commodity.csv,VegaSlimWeed,Vega Slimweed,,missing
rare_commodity.csv,AltairianSkin,Altairian Skin,,missing
rare_commodity.csv,PavonisEarGrubs,Pavonis Ear Grubs,,missing
rare_commodity.csv,JotunMookah,Jotun Mookah,,missing
rare_commodity.csv,GiantVerrix,Giant Verrix,,missing
rare_commodity.csv,IndiBourbon,Indi Bourbon,,missing
rare_commodity.csv,AroucaConventualSweets,Arouca Conventual Sweets,,missing
rare_commodity.csv,TauriChimes,Tauri Chimes,,missing
rare_commodity.csv,ZeesszeAntGlue,Zeessze Ant Grub Glue,,missing
rare_commodity.csv,PantaaPrayerSticks,Pantaa Prayer Sticks,,missing
rare_commodity.csv,FujinTea,Fujin Tea,,missing
rare_commodity.csv,ChameleonCloth,Chameleon Cloth,,missing
rare_commodity.csv,OrrerianViciousBrew,Orrerian Vicious Brew,,missing
rare_commodity.csv,UszaianTreeGrub,Uszaian Tree Grub,,missing
rare_commodity.csv,MomusBogSpaniel,Momus Bog Spaniel,,missing
rare_commodity.csv,DisoMaCorn,Diso Ma Corn,,missing
rare_commodity.csv,LeestianEvilJuice,Leestian Evil Juice,,missing
rare_commodity.csv,BlueMilk,Azure Milk,,missing
rare_commodity.csv,AlienEggs,Leathery Eggs,,missing
rare_commodity.csv,AlyaBodilySoap,Alya Body Soap,,missing
rare_commodity.csv,VidavantianLace,Vidavantian Lace,,missing
rare_commodity.csv,TransgenicOnionHead,Lucan Onionhead,,missing
rare_commodity.csv,JaquesQuinentianStill,Jaques Quinentian Still,,missing
rare_commodity.csv,SoontillRelics,Soontill Relics,,missing
rare_commodity.csv,Advert1,Ultra-Compact Processor Prototypes,,missing
rare_commodity.csv,TheHuttonMug,The Hutton Mug,,missing
rare_commodity.csv,SothisCrystallineGold,Sothis Crystalline Gold,,missing
rare_commodity.csv,MasterChefs,Master Chefs,,missing
rare_commodity.csv,PersonalGifts,Festive Gifts,,missing
rare_commodity.csv,CrystallineSpheres,Crystalline Spheres,,missing
rare_commodity.csv,OnionHeadA,Onionhead Alpha Strain,,missing
rare_commodity.csv,OnionHeadB,Onionhead Beta Strain,,missing
rare_commodity.csv,GalacticTravelGuide,Galactic Travel Guide,,missing
rare_commodity.csv,AnimalEffigies,Crom Silver Fesh,,missing
rare_commodity.csv,ShansCharisOrchid,Shan's Charis Orchid,,missing
rare_commodity.csv,BuckyballBeerMats,Buckyball Beer Mats,,missing
rare_commodity.csv,HarmaSilverSeaRum,Harma Silver Sea Rum,,missing
rare_commodity.csv,PlatinumAloy,Platinum Alloy,,missing
rare_commodity.csv,Nanomedicines,Nanomedicines,,missing
rare_commodity.csv,Duradrives,Duradrives,,missing
rare_commodity.csv,ApaVietii,Apa Vietii,,missing
rare_commodity.csv,ClassifiedExperimentalEquipment,Classified Experimental Equipment,,missing
#totals,shipyard,ok=39,differs_or_missing=9
#totals,outfitting,ok=1041,differs_or_missing=195
#totals,material.csv,ok=137,differs_or_missing=0
#totals,commodity.csv,ok=270,differs_or_missing=0
#totals,rare_commodity.csv,ok=0,differs_or_missing=142
